page_url,title,type,question_id,activity,sub_question_label,active,median,resolution_criteria,fine_print,fan_graph,custom_group
/questions/172/will-online-voting-spread-in-the-us-before-the-next-presidential-election/,Will online voting spread in the US before the next presidential election?,forecast,172,0.0,,RESOLVED,0.02,"Although critical to the democratic model of government, voting in America has some problems. Turnout is often low, and the terms ""butterfly ballot"" and ""hanging chad"" still linger in our collective consciousness following the uncertainty of the 2000 presidential election. 

Since we are already able to do practically everything else via the internet –bank, shop, communicate, etc., – online voting seems like a natural next step. Some argue that online voting would increase turnout and bring voting access to anyone with the internet, without the need to go to a polling place on Election Day. 

Currently, [22 states](http://www.businessinsider.com/22-states-that-allow-you-to-vote-online-2016-9) allow for some form of online voting, allowing members of the military and other citizens living overseas to return their ballots by email. Only one state - Alaska - allows any registered voter, provided they pre-register, to use an online voting portal. Four other states offer an online voting portal. In March 2016 the Utah Republican Party [offered online voting](https://www.wired.com/2016/03/security-experts-arent-going-like-utahs-online-primary/) to all registered voters in its presidential caucus. 

The major problem that hampers [every proposal](https://www.verifiedvoting.org/resources/internet-voting/) for online voting is security. Repeated analyses find that, given the impossibility of sufficiently protecting the millions of personal devices that would be used in an online election, the risk of malicious interference in the election is too high to recommend proceeding with online voting. The stakes are also too high, the analysts say, with no less than the balance of American political power in play. 

Still, [multiple](http://www.everyonecounts.com/introduction-to-elect/) online voting [vendors](https://www.electionsonline.com/) exist, each claiming to be secure. The fate of online voting may depend on who can make the most innovative advances in internet security: vendors or hackers.

***Will online voting for all registered voters expand by the 2020 general election?***

*To resolve as positive, a credible news outlet must report that at least five states will allow any registered voter to submit their ballot for the 2020 general election via email or an online voting portal on or before November 3, 2020.*",,False,
/questions/186/will-roboticai-automation-be-essentially-ignored-in-the-primary-races/,Will robotic/AI automation be essentially ignored in the primary races?,forecast,186,0.0,,RESOLVED,0.85,"*** Will the total time devoted to questions (and answers) directly referring to AI and/or robotic automation of labor in the remaining Republican and Democratic presidential primary debates be less than 5 minutes? ***

*(Note: we will launch a similar question about the post-primary presidential debates)*",,False,
/questions/227/will-an-independent-conservative-candidate-gain-a-significant-number-of-votes-in-the-2016-us-presidential-election/,Will an independent conservative candidate gain a significant number of votes in the 2016 US Presidential election?,forecast,227,0.0,,RESOLVED,0.04,"The 2016 Republican presidential primary election, and in particular the (presumed) appointment of controversial candidate Donald Trump as the party nominee has led to signs of apparent division within the Republican party. For example, some leading party members, including former presidential candidate Mitt Romney, and former presidents George W and George H W Bush have refused to endorse Trump's candidacy.

Will significant fracturing/defections from the Republican party lead to large scale defection of voters from the party endorsed candidate, and the emergence of a conservative third candidate, not endorsed by either main party? 

**Will such a candidate gain significant following and votes?**

Criterion for ""Yes"" if an independent or third party candidate self-identifying as conservative gains at least 15% of the national vote.",,False,
/questions/325/will-ai-automation-of-jobs-be-essentially-ignored-in-the-us-presidential-race/,Will AI automation of jobs be essentially ignored in the US presidential race?,forecast,325,0.0,,RESOLVED,0.96,"*** Will the total time devoted to questions (and answers) directly referring to AI and/or robotic automation of labor in the presidential debates be less than 5 minutes? ***

The [presidential debate schedule](http://www.uspresidentialelectionnews.com/2016-debate-schedule/2016-presidential-debate-schedule/) currently calls for three debates of around 90 minutes apiece.  Resolution is positive if less than 5 minutes of this ~270 minutes is devoted to questions and answers directly discussing AI and robotic automation of labor.  (The clock stops as soon as the discussion is steered into general talking points on jobs, or other non-AI-related issues.)  If additional debates are added to the schedule they count as well.  (Note: this is a relaunching of a [very similar question](http://www.metaculus.com/questions/186/will-roboticai-automation-be-essentially-ignored-in-the-primary-races/) from the primary race.)",,False,
/questions/352/will-the-us-election-be-decided-by-nov-11/,Will the US election be decided by Nov. 11?,forecast,352,0.0,,RESOLVED,0.75,"The US election will be held Tuesday November 8.  Early results *generally* allow the major news organizations to ""call"" the election on Tuesday evening, and the loser to concede to the victor – a notable exception being Bush v. Gore 2000, which led to weeks of controversy and was ultimately settled by the Supreme Court.

This year, in addition to the perennial possibility of a close election requiring recounts, there are concerns being raised by both candidates about potential manipulation of the election results.  

Clinton's concerns are based on the reported [hack of the DNC's email servers, emails from which have appears on Wikileaks, which has been reported by US intelligence to ""with high confidence"" be orchestrated by the Russian government](https://en.wikipedia.org/wiki/2016_Democratic_National_Committee_email_leak), as well as reports of [Russian hacking of US election systems](https://www.washingtonpost.com/world/national-security/fbi-is-investigating-foreign-hacks-of-state-election-systems/2016/08/29/6e758ff4-6e00-11e6-8365-b19e428a975e_story.html)

The basis for Trump's concerns (other than his position in the polls) [is unclear.](http://www.bloomberg.com/politics/articles/2016-10-17/trump-asserts-wide-voter-fraud-that-experts-say-is-unfounded)

** Will the election be decided by the beginning of the day, November 11?**

Question resolves positively if Clinton or Trump publicly concedes the election prior to midnight EDT November 10.",,False,
/questions/448/will-marine-le-pen-win-the-french-presidential-election-/,Will Marine le Pen win the French presidential Election ?,forecast,448,0.0,,RESOLVED,0.33,"The French presidential election will be held on 23rd April (first round) and 7th May (second round). Marine le Pen is a candidate for the ""Front National"" party.

More information, including recent polls, is available on [on Wikipedia](https://en.wikipedia.org/wiki/French_presidential_election,_2017).

*** Resolution is positive if Marine le Pen wins the second round of the French presidential election and is therefore elected president. ***",,False,
/questions/474/uk-election-will-it-be-a-hung-parliament-/,Will the UK elections lead to an absolute majority for one party in parliament?,forecast,474,0.0,,RESOLVED,0.7,"The Conservative party headed by Prime Minister May called a snap election for June 8 and initially were predicted to win in a landslide as polls showed them getting a share of the votes 20 to 25 percent higher than the Labour party. 

This has changed in the last few weeks with the [most recent polls](http://www.telegraph.co.uk/news/0/general-election-polls-2017-latest-odds-tracker-maps/) showing the percentage difference narrowing to the single digits. One poll even predicted a ""hung parliament"" where no party has an absolute majority. 

*** Will a single political party win an absolute majority in parliament when the votes are finished counted on June 9 ? ***

Resolution is positive if official results are announced giving any political particle an absolute majority in the UK elections of June 8.  In the case of contested seats as of June 10, resolution will be delayed if and only if those contested seats would affect whether a majority is achieved.",,False,
/questions/508/will-donald-trump-have-a-50-approval-rating-at-some-point-during-his-presidency/,Will Donald Trump have a 50% approval rating at some point before the November 2018 mid-term elections?,forecast,508,0.0,,RESOLVED,0.15,"Trump's presidency has had a rough start. Already starting with a small electoral vote victory, successive scandals and policy defeats have dropped Trump's approval rating down to below 40% as of August 5th 2017, [according](http://www.gallup.com/poll/203198/presidential-approval-ratings-donald-trump.aspx) to [most](http://www.rasmussenreports.com/public_content/politics/political_updates/prez_track_aug4) [pollsters](http://polling.reuters.com/#poll/CP3_2/). Mueller's investigation will likely put further pressure on the Administration, and a possible recession with a currently strong economy would be disastrous. 

But all is not lost for Trump. Approval ratings have been historically mean-reverting, with initially unpopular presidents slowly gaining popularity as their presidency continues. BIll Clinton had a [sub-40% approval rating](http://www.gallup.com/poll/116677/presidential-approval-ratings-gallup-historical-statistics-trends.aspx) six months into his presidency, but eventually rebounded to 60% by the end of his presidency. Even after Ford's rating tanked after his pardoning of Nixon, he managed to (barely) crawl above 50% approval. By keeping further scandals to a minimum, maintaining a strong economy and earning some policy victories, Trump could slowly rebound over the next three years.

On a more morbid note, Bush's popularity skyrocketed after the 9/11 attacks in a ""Rally Around the Flag"" effect.  Another major terrorist attack could likewise spike Trump's popularity, at least temporarily.

**By November 6, 2018, will there be a day where Trump's approval rating is 50% or above on [538's aggregate](https://projects.fivethirtyeight.com/trump-approval-ratings) ""all polls"" approval tracker?**",,False,
/questions/578/human-extinction-by-2100/,Will humans go extinct before 2100?,forecast,578,0.706553511833042,,OPEN,0.01,"This question will resolve as **Yes** if there are no known humans alive on January 1, 2100.  For these purposes we'll define humans as biological creatures who have as their ancestors – via a chain of live births from mothers –  circa 2000 humans OR who could mate with circa 2000 humans to produce viable offspring. (So AIs, ems, genetically engineered beings of a different species brought up in artificial wombs, etc. would not count).  Any living humans living anywhere in the observable universe (or multiverse) (who are known to the entities operating Metaculus) on that date will be sufficient to resolve the question negatively.

N.B. Even though it is obviously the case that if human extinction occurs Metaculus points won't be very valuable anymore and that it will be practically impossible to check for true human extinction (zero humans left), I would like to ask people not to let this fact influence their prediction and to predict in good faith",,False,
/questions/662/will-nasas-wfirst-still-be-funded-as-of-the-2018-mid-term-elections/,Will NASA’s WFIRST still be funded as of the 2018 mid-term elections?,forecast,662,0.0,,RESOLVED,0.8,"NASA plans to launch its Wide Field Infrared Survey Telescope (WFIRST) in the middle of the next decade. [Per the agency,](https://wfirst.gsfc.nasa.gov/about.html) the purpose is “to settle essential questions in the areas of dark energy, exoplanets, and infrared astrophysics.” Among other things, the observatory will “have a field of view that is 100 times greater than the Hubble infrared instrument, capturing more of the sky with less observing time… [and] will measure light from a billion galaxies over the course of the mission lifetime… It also has instruments to find and take images of planets around other stars.”

But WFIRST is in trouble.

The Trump administration proposed a budget for Fiscal Year 2019 that would [cancel the observatory,](https://www.space.com/39670-trump-nasa-2019-budget-cancels-wfirst-earth-science.html) which (for technical reasons) would have required an increase in funding.

Prominent science journalist, Ethan Siegel (“Starts with a Bang”) [has argued](https://www.forbes.com/sites/startswithabang/2018/02/20/cancelling-wfirst-will-permanently-ruin-nasa/#365e09ee57b0) that this move would “permanently ruin NASA.” He writes “If WFIRST gets cancelled, it's a sign that even the most important NASA project, as determined by internal, external, and independent reviewers, is subject to political whims.”

*** Will WFIRST survive this attack? ***

For a positive resolution WFIRST must still be funded through 2019 at a level compatible with the mission's continuation, as of the 2018 midterm elections, via whatever budget is in place at that time. Resolution is negative if a budget passes in which WFIRST's 2019 funding is cut by more than 50% from the level requested by NASA as of early 2018 for the mission.",,False,
