page_url,title,sub_question_id,sub_question_label,active,median
/questions/11370/2024-republican-nominee-for-us-prez/,Who will be the Republican nominee for the 2024 US Presidential Election?,7083,Mike Pence,OPEN,0.01
/questions/11370/2024-republican-nominee-for-us-prez/,Who will be the Republican nominee for the 2024 US Presidential Election?,15255,Vivek Ramaswamy,OPEN,0.04
/questions/11370/2024-republican-nominee-for-us-prez/,Who will be the Republican nominee for the 2024 US Presidential Election?,11699,Nikki Haley,OPEN,0.03
/questions/11370/2024-republican-nominee-for-us-prez/,Who will be the Republican nominee for the 2024 US Presidential Election?,12158,Chris Christie,OPEN,0.01
/questions/11370/2024-republican-nominee-for-us-prez/,Who will be the Republican nominee for the 2024 US Presidential Election?,5049,Donald Trump,OPEN,0.85
/questions/11370/2024-republican-nominee-for-us-prez/,Who will be the Republican nominee for the 2024 US Presidential Election?,5062,Tucker Carlson,OPEN,0.002
/questions/11370/2024-republican-nominee-for-us-prez/,Who will be the Republican nominee for the 2024 US Presidential Election?,6590,Ron DeSantis,OPEN,0.07
/questions/11370/2024-republican-nominee-for-us-prez/,Who will be the Republican nominee for the 2024 US Presidential Election?,11700,Donald Trump Jr.,OPEN,0.001
/questions/11370/2024-republican-nominee-for-us-prez/,Who will be the Republican nominee for the 2024 US Presidential Election?,12277,Liz Cheney,OPEN,0.001
/questions/11370/2024-republican-nominee-for-us-prez/,Who will be the Republican nominee for the 2024 US Presidential Election?,15711,Asa Hutchinson,OPEN,0.002
/questions/11370/2024-republican-nominee-for-us-prez/,Who will be the Republican nominee for the 2024 US Presidential Election?,17335,Larry Elder,OPEN,0.001
/questions/11370/2024-republican-nominee-for-us-prez/,Who will be the Republican nominee for the 2024 US Presidential Election?,17354,Doug Burgum,OPEN,0.001
/questions/11370/2024-republican-nominee-for-us-prez/,Who will be the Republican nominee for the 2024 US Presidential Election?,17483,Francis Suarez,OPEN,0.001
/questions/11370/2024-republican-nominee-for-us-prez/,Who will be the Republican nominee for the 2024 US Presidential Election?,17561,Will Hurd,OPEN,0.001
/questions/11370/2024-republican-nominee-for-us-prez/,Who will be the Republican nominee for the 2024 US Presidential Election?,19103,Glenn Youngkin,OPEN,0.01
/questions/11370/2024-republican-nominee-for-us-prez/,Who will be the Republican nominee for the 2024 US Presidential Election?,11701,Ted Cruz,OPEN,0.003
/questions/11370/2024-republican-nominee-for-us-prez/,Who will be the Republican nominee for the 2024 US Presidential Election?,15922,Tim Scott,OPEN,0.01
